drug1,drug2,similarity
DB00197,DB00945,0.282
DB00523,DB00945,0.396
DB00755,DB00945,0.396
DB01124,DB00945,0.153
DB00373,DB00945,0.238
DB00624,DB00945,0.463
DB00675,DB00945,0.39
DB00605,DB00945,0.94
DB01138,DB00945,0.736
DB00428,DB00945,0.387
DB00421,DB00945,0.411
DB00203,DB00945,0.446
DB00533,DB00945,0.904
DB00206,DB00945,0.274
DB00877,DB00945,0.622
DB00863,DB00945,0.529
DB00571,DB00945,0.486
DB03322,DB00945,0.486
DB01069,DB00945,0.216
DB00396,DB00945,0.593
DB01032,DB00945,0.21
DB00635,DB00945,0.651
DB00860,DB00945,0.58
DB00457,DB00945,0.176
DB00175,DB00945,0.529
DB01132,DB00945,0.386
DB00812,DB00945,0.712
DB01174,DB00945,0.272
DB01229,DB00945,0.52
DB01092,DB00945,0.225
DB01054,DB00945,0.275
DB01183,DB00945,0.446
DB00295,DB00945,0.665
DB00471,DB00945,0.561
DB00683,DB00945,0.386
DB00959,DB00945,0.589
DB00563,DB00945,0.498
DB00814,DB00945,0.672
DB00227,DB00945,0.487
DB00678,DB00945,0.489
DB00836,DB00945,0.218
DB00555,DB00945,0.309
DB01009,DB00945,0.675
DB01026,DB00945,0.274
DB01221,DB00945,0.272
DB00328,DB00945,0.967
DB00281,DB00945,0.566
DB01050,DB00945,0.975
DB00741,DB00945,0.407
DB00502,DB00945,0.193
DB01016,DB00945,0.324
DB01241,DB00945,0.33
DB00695,DB00945,0.574
DB00158,DB00945,0.767
DB00712,DB00945,0.86
DB00472,DB00945,0.343
DB00544,DB00945,0.329
DB00773,DB00945,0.195
DB00749,DB00945,0.673
DB00584,DB00945,0.543
DB00313,DB00945,0.427
DB01075,DB00945,0.358
DB00343,DB00945,0.62
DB00255,DB00945,0.72
DB00586,DB00945,0.877
DB00829,DB00945,0.386
DB00182,DB00945,0.257
DB00443,DB00945,0.157
DB01234,DB00945,0.157
DB00470,DB00945,0.423
DB00115,DB00945,0.401
DB01394,DB00945,0.422
DB00907,DB00945,0.42
DB00363,DB00945,0.193
DB00758,DB00945,0.979
DB00575,DB00945,0.325
DB00501,DB00945,0.552
DB00477,DB00945,0.272
DB01114,DB00945,0.297
DB00608,DB00945,0.543
DB00439,DB00945,0.919
DB00482,DB00945,0.942
DB00661,DB00945,0.555
DB00201,DB00945,0.695
DB00542,DB00945,0.178
DB01435,DB00945,0.333
DB00277,DB00945,0.449
DB00437,DB00945,0.453
DB00252,DB00945,0.528
DB00445,DB00945,0.33
DB00997,DB00945,0.33
DB00788,DB00945,0.921
DB00140,DB00945,0.168
DB00468,DB00945,0.453
DB00908,DB00945,0.453
DB00368,DB00945,0.483
DB00184,DB00945,0.449
DB00627,DB00945,0.635
DB01065,DB00945,0.346
DB00134,DB00945,0.41
DB00451,DB00945,0.449
DB00668,DB00945,0.758
DB01235,DB00945,0.216
DB00988,DB00945,0.379
DB00783,DB00945,0.515
DB00936,DB00945,0.996
DB00122,DB00945,0.172
DB01103,DB00945,0.291
DB00640,DB00945,0.566
DB03128,DB00945,0.534
DB00917,DB00945,0.905
DB01045,DB00945,0.363
DB01261,DB00945,0.23
DB00398,DB00945,0.206
DB00530,DB00945,0.217
DB00973,DB00945,0.386
DB01098,DB00945,0.599
DB00317,DB00945,0.154
DB01211,DB00945,0.399
DB00570,DB00945,0.21
DB00495,DB00945,0.156
DB01586,DB00945,0.357
DB00619,DB00945,0.314
DB00811,DB00945,0.285
DB00715,DB00945,0.359
DB00264,DB00945,0.643
DB00333,DB00945,0.257
DB00371,DB00945,0.204
DB01043,DB00945,0.21
DB00458,DB00945,0.29
DB01095,DB00945,0.33
DB00813,DB00945,0.356
DB00927,DB00945,0.481
DB01248,DB00945,0.277
DB00320,DB00945,0.387
DB00390,DB00945,0.644
DB00861,DB00945,0.719
DB01136,DB00945,0.48
DB00921,DB00945,0.182
DB00321,DB00945,0.518
DB01118,DB00945,0.58
DB00915,DB00945,0.171
DB00819,DB00945,0.33
DB00242,DB00945,0.196
DB04557,DB00945,0.969
DB00285,DB00945,0.27
DB01104,DB00945,0.273
DB00734,DB00945,0.151
DB01182,DB00945,0.274
DB01035,DB00945,0.296
DB03783,DB00945,0.668
DB00334,DB00945,0.236
DB00696,DB00945,0.572
DB01184,DB00945,0.157
DB00215,DB00945,0.297
DB01175,DB00945,0.297
DB00966,DB00945,0.299
DB00790,DB00945,0.414
DB00519,DB00945,0.35
DB00669,DB00945,0.388
DB00178,DB00945,0.529
DB01224,DB00945,0.151
DB00968,DB00945,0.34
DB00590,DB00945,0.217
DB01200,DB00945,0.15
DB00656,DB00945,0.211
DB00500,DB00945,0.618
DB01097,DB00945,0.23
DB01167,DB00945,0.195
DB01142,DB00945,0.195
DB00342,DB00945,0.152
DB00455,DB00945,0.218
DB00332,DB00945,0.273
DB00967,DB00945,0.18
DB00176,DB00945,0.152
DB00759,DB00482,0.213
DB00564,DB00482,0.273
DB00316,DB00482,0.576
DB00254,DB00482,0.22
DB00554,DB00482,0.695
DB00795,DB00482,0.342
DB01645,DB00482,0.304
DB00412,DB00482,0.484
DB00641,DB00482,0.236
DB00541,DB00482,0.218
DB00177,DB00482,0.151
DB00197,DB00482,0.357
DB00523,DB00482,0.504
DB00755,DB00482,0.504
DB01124,DB00482,0.391
DB00624,DB00482,0.357
DB00675,DB00482,0.475
DB00605,DB00482,0.923
DB00428,DB00482,0.152
DB00203,DB00482,0.357
DB00533,DB00482,0.979
DB00740,DB00482,0.364
DB00877,DB00482,0.238
DB00863,DB00482,0.451
DB00571,DB00482,0.222
DB03322,DB00482,0.222
DB00396,DB00482,0.215
DB00635,DB00482,0.364
DB00860,DB00482,0.23
DB00175,DB00482,0.152
