drug1,drug2,similarity
DB00523,DB00759,0.675
DB00755,DB00759,0.675
DB00624,DB00759,0.226
DB00675,DB00759,0.476
DB00428,DB00759,0.341
DB00206,DB00759,0.339
DB00877,DB00759,0.456
DB00863,DB00759,0.392
DB00396,DB00759,0.4
DB01032,DB00759,0.293
DB00635,DB00759,0.384
DB00860,DB00759,0.3
DB00812,DB00759,0.158
DB01174,DB00759,0.168
DB01229,DB00759,0.399
DB00295,DB00759,0.185
DB00834,DB00759,0.317
DB01110,DB00759,0.153
DB00959,DB00759,0.218
DB00563,DB00759,0.271
DB00227,DB00759,0.217
DB01026,DB00759,0.305
DB01221,DB00759,0.273
DB00328,DB00759,0.416
DB00281,DB00759,0.23
DB01050,DB00759,0.264
DB00741,DB00759,0.189
DB00502,DB00759,0.153
DB00695,DB00759,0.257
DB00158,DB00759,0.424
DB00472,DB00759,0.2
DB00544,DB00759,0.254
DB00773,DB00759,0.46
DB00313,DB00759,0.208
DB00255,DB00759,0.505
DB00586,DB00759,0.314
DB00182,DB00759,0.198
DB00115,DB00759,0.43
DB01394,DB00759,0.273
DB00907,DB00759,0.257
DB00257,DB00759,0.168
DB00477,DB00759,0.29
DB00608,DB00759,0.437
DB00439,DB00759,0.151
DB00482,DB00759,0.213
DB00661,DB00759,0.217
DB00201,DB00759,0.177
DB00945,DB00759,0.406
DB00277,DB00759,0.212
DB00437,DB00759,0.248
DB00252,DB00759,0.23
DB00445,DB00759,0.437
DB00997,DB00759,0.437
DB00788,DB00759,0.17
DB00140,DB00759,0.353
DB00468,DB00759,0.499
DB00908,DB00759,0.499
DB00368,DB00759,0.234
DB00184,DB00759,0.423
DB01065,DB00759,0.213
DB00134,DB00759,0.505
DB00451,DB00759,0.255
DB00668,DB00759,0.259
DB01235,DB00759,0.185
DB00988,DB00759,0.417
DB00987,DB00759,0.254
DB00783,DB00759,0.359
DB00936,DB00759,0.382
DB00122,DB00759,0.37
DB01103,DB00759,0.327
DB00640,DB00759,0.33
DB03128,DB00759,0.255
DB00917,DB00759,0.244
DB00602,DB00759,0.235
DB01045,DB00759,0.866
DB00530,DB00759,0.26
DB00317,DB00759,0.267
DB01211,DB00759,0.848
DB00570,DB00759,0.163
DB00495,DB00759,0.157
DB01586,DB00759,0.227
DB00440,DB00759,0.851
DB00619,DB00759,0.277
DB01059,DB00759,0.773
DB00371,DB00759,0.177
DB01043,DB00759,0.257
DB00358,DB00759,0.41
DB00390,DB00759,0.178
DB01151,DB00759,0.163
DB00694,DB00759,0.42
DB01118,DB00759,0.283
DB00518,DB00759,0.324
DB04557,DB00759,0.197
DB00490,DB00759,0.162
DB00968,DB00759,0.243
DB01167,DB00759,0.155
DB00845,DB00759,0.231
DB01165,DB00811,0.15
DB01212,DB00811,0.17
DB00316,DB00811,0.169
DB00254,DB00811,0.234
DB04216,DB00811,0.304
DB00559,DB00811,0.19
DB00641,DB00811,0.171
DB00523,DB00811,0.208
DB00755,DB00811,0.208
DB00428,DB00811,0.167
DB00206,DB00811,0.192
DB00877,DB00811,0.307
DB00635,DB00811,0.384
DB00860,DB00811,0.383
DB01132,DB00811,0.26
DB00295,DB00811,0.246
DB00471,DB00811,0.255
DB00959,DB00811,0.388
DB00563,DB00811,0.217
DB00695,DB00811,0.169
DB00472,DB00811,0.166
DB00544,DB00811,0.271
DB00907,DB00811,0.179
DB00608,DB00811,0.201
DB00439,DB00811,0.363
DB00201,DB00811,0.282
DB00945,DB00811,0.285
DB00437,DB00811,0.151
DB00445,DB00811,0.275
DB00997,DB00811,0.275
DB00140,DB00811,0.259
DB00134,DB00811,0.218
DB00451,DB00811,0.152
DB00987,DB00811,0.431
DB00640,DB00811,0.378
DB01045,DB00811,0.256
DB01254,DB00811,0.156
DB00398,DB00811,0.219
DB00530,DB00811,0.173
DB00973,DB00811,0.21
DB01098,DB00811,0.208
DB01211,DB00811,0.176
DB00495,DB00811,0.713
DB01586,DB00811,0.176
DB00619,DB00811,0.23
DB00715,DB00811,0.236
DB00333,DB00811,0.489
DB01095,DB00811,0.394
DB00921,DB00811,0.21
DB00915,DB00811,0.773
DB00518,DB00811,0.359
DB00215,DB00811,0.234
DB01175,DB00811,0.234
DB01097,DB00811,0.352
DB00977,DB00811,0.257
DB01165,DB00501,0.556
DB00199,DB00501,0.446
DB00537,DB00501,0.587
DB00564,DB00501,0.388
DB00316,DB00501,0.374
DB00554,DB00501,0.299
DB00795,DB00501,0.177
DB00641,DB00501,0.168
DB00594,DB00501,0.438
DB00541,DB00501,0.151
DB01124,DB00501,0.299
DB00624,DB00501,0.31
DB00675,DB00501,0.235
DB00605,DB00501,0.386
DB01138,DB00501,0.208
DB00421,DB00501,0.291
DB00203,DB00501,0.23
DB00206,DB00501,0.282
DB00863,DB00501,0.973
DB00571,DB00501,0.748
DB03322,DB00501,0.748
DB01069,DB00501,0.789
DB00396,DB00501,0.242
DB01032,DB00501,0.543
DB00635,DB00501,0.23
DB00860,DB00501,0.26
DB00457,DB00501,0.342
DB00812,DB00501,0.284
DB01174,DB00501,0.567
DB01229,DB00501,0.389
DB01092,DB00501,0.323
DB01183,DB00501,0.386
DB00295,DB00501,0.517
DB00683,DB00501,0.294
DB01110,DB00501,0.422
DB01011,DB00501,0.451
DB00959,DB00501,0.267
DB00563,DB00501,0.209
DB00227,DB00501,0.153
DB00678,DB00501,0.181
DB00836,DB00501,0.173
DB01009,DB00501,0.156
DB01026,DB00501,0.715
DB00328,DB00501,0.714
DB00281,DB00501,0.345
DB01050,DB00501,0.399
DB00741,DB00501,0.176
DB00502,DB00501,0.298
DB01016,DB00501,0.262
DB01241,DB00501,0.356
DB00695,DB00501,0.396
DB00158,DB00501,0.216
DB00472,DB00501,0.482
DB00544,DB00501,0.203
DB00584,DB00501,0.175
DB00313,DB00501,0.394
DB01075,DB00501,0.884
DB00343,DB00501,0.496
DB00255,DB00501,0.29
DB00586,DB00501,0.294
DB00829,DB00501,0.476
DB00182,DB00501,0.15
DB01394,DB00501,0.247
DB00907,DB00501,0.282
DB00363,DB00501,0.242
DB00257,DB00501,0.404
DB00758,DB00501,0.156
DB00575,DB00501,0.44
DB00477,DB00501,0.324
DB01114,DB00501,0.935
DB00608,DB00501,0.156
DB00439,DB00501,0.175
DB00482,DB00501,0.354
DB00661,DB00501,0.587
DB00201,DB00501,0.394
DB00945,DB00501,0.552
DB01435,DB00501,0.683
DB00277,DB00501,0.634
DB00437,DB00501,0.284
DB00252,DB00501,0.506
DB00445,DB00501,0.537
DB00997,DB00501,0.537
DB00788,DB00501,0.297
DB00468,DB00501,0.723
DB00908,DB00501,0.723
DB00368,DB00501,0.948
DB00184,DB00501,0.272
DB00451,DB00501,0.15
DB00668,DB00501,0.937
DB01235,DB00501,0.186
DB00988,DB00501,0.93
DB00783,DB00501,0.195
DB00936,DB00501,0.323
DB00122,DB00501,0.925
DB00640,DB00501,0.264
DB03128,DB00501,0.575
DB00917,DB00501,0.325
DB01045,DB00501,0.436
DB01388,DB00501,0.48
DB01211,DB00501,0.463
DB00570,DB00501,0.173
DB00914,DB00501,0.156
DB00495,DB00501,0.241
DB00440,DB00501,0.585
DB00715,DB00501,0.436
DB01059,DB00501,0.48
DB01204,DB00501,0.641
DB00264,DB00501,0.36
DB00333,DB00501,0.157
DB00458,DB00501,0.391
DB00813,DB00501,0.185
DB00927,DB00501,0.969
DB01248,DB00501,0.171
DB00390,DB00501,0.513
DB01151,DB00501,0.23
DB00694,DB00501,0.539
DB00321,DB00501,0.297
DB01118,DB00501,0.62
DB00915,DB00501,0.173
DB00518,DB00501,0.246
DB00819,DB00501,0.173
DB04557,DB00501,0.294
DB00285,DB00501,0.173
DB01104,DB00501,0.208
DB00734,DB00501,0.165
DB01182,DB00501,0.22
DB01035,DB00501,0.974
DB03783,DB00501,0.175
DB00690,DB00501,0.152
DB01184,DB00501,0.344
DB00514,DB00501,0.174
DB00215,DB00501,0.175
DB01175,DB00501,0.175
DB00490,DB00501,0.156
DB00968,DB00501,0.31
DB00280,DB00501,0.23
DB01200,DB00501,0.262
DB00656,DB00501,0.194
DB00500,DB00501,0.168
DB01167,DB00501,0.594
DB01142,DB00501,0.294
DB00342,DB00501,0.467
DB00643,DB00501,0.157
DB00455,DB00501,0.28
DB00332,DB00501,0.156
DB00967,DB00501,0.155
DB00176,DB00501,0.614
DB01100,DB00501,0.173
DB00726,DB00501,0.326
DB01149,DB00501,0.151
DB00637,DB00501,0.384
DB01165,DB00264,0.172
DB00199,DB00264,0.151
DB00537,DB00264,0.15
DB00564,DB00264,0.388
DB00316,DB00264,0.274
DB00554,DB00264,0.21
DB00641,DB00264,0.505
DB01393,DB00264,0.218
DB00594,DB00264,0.194
DB00177,DB00264,0.505
DB01124,DB00264,0.394
DB00373,DB00264,0.836
DB00624,DB00264,0.151
DB00675,DB00264,0.152
DB00421,DB00264,0.507
DB00203,DB00264,0.176
DB00206,DB00264,0.206
DB00863,DB00264,0.358
DB00571,DB00264,0.937
DB03322,DB00264,0.937
DB01069,DB00264,0.173
DB00635,DB00264,0.27
DB00860,DB00264,0.196
DB00457,DB00264,0.621
DB00175,DB00264,0.27
DB01054,DB00264,0.273
DB00295,DB00264,0.434
DB00683,DB00264,0.476
DB00959,DB00264,0.209
DB00227,DB00264,0.182
DB00678,DB00264,0.505
DB00555,DB00264,0.209
DB01009,DB00264,0.299
DB01026,DB00264,0.206
DB00328,DB00264,0.205
DB00281,DB00264,0.388
DB01050,DB00264,0.341
DB00741,DB00264,0.274
DB00502,DB00264,0.293
DB01016,DB00264,0.233
DB01241,DB00264,0.272
DB00695,DB00264,0.579
DB00472,DB00264,0.291
DB00584,DB00264,0.763
DB00313,DB00264,0.397
DB01075,DB00264,0.154
DB00343,DB00264,0.651
DB00255,DB00264,0.152
DB00586,DB00264,0.388
DB00829,DB00264,0.327
DB00907,DB00264,0.23
DB00758,DB00264,0.571
DB00575,DB00264,0.698
DB00501,DB00264,0.36
DB00439,DB00264,0.463
DB00661,DB00264,0.711
DB00201,DB00264,0.44
DB00542,DB00264,0.317
DB00945,DB00264,0.643
DB01435,DB00264,0.372
DB00277,DB00264,0.325
DB00437,DB00264,0.156
DB00252,DB00264,0.342
DB00788,DB00264,0.386
DB00468,DB00264,0.449
DB00908,DB00264,0.449
DB00368,DB00264,0.792
DB00184,DB00264,0.273
DB01065,DB00264,0.15
DB00451,DB00264,0.351
DB00668,DB00264,0.626
DB00988,DB00264,0.274
DB00640,DB00264,0.273
DB03128,DB00264,0.21
DB01045,DB00264,0.153
DB00973,DB00264,0.169
DB01098,DB00264,0.239
DB01211,DB00264,0.155
DB00914,DB00264,0.508
DB00440,DB00264,0.151
DB00715,DB00264,0.344
DB00401,DB00264,0.151
DB00458,DB00264,0.209
DB01095,DB00264,0.232
DB00813,DB00264,0.344
DB00320,DB00264,0.33
DB00390,DB00264,0.688
DB01151,DB00264,0.261
DB01136,DB00264,0.946
DB00321,DB00264,0.688
DB01118,DB00264,0.658
DB00819,DB00264,0.157
DB00285,DB00264,0.317
DB01104,DB00264,0.272
DB00734,DB00264,0.332
DB01182,DB00264,0.797
DB01035,DB00264,0.345
DB03783,DB00264,0.555
DB01400,DB00264,0.172
DB00696,DB00264,0.384
DB01184,DB00264,0.174
DB00514,DB00264,0.483
DB00215,DB00264,0.311
DB01175,DB00264,0.311
DB00490,DB00264,0.151
DB00966,DB00264,0.388
DB00790,DB00264,0.457
DB00519,DB00264,0.296
DB00669,DB00264,0.343
DB00178,DB00264,0.949
DB00211,DB00264,0.196
DB00968,DB00264,0.689
DB00590,DB00264,0.558
DB00280,DB00264,0.387
DB01193,DB00264,0.875
DB01142,DB00264,0.167
DB00176,DB00264,0.17
DB01580,DB00264,0.88
DB01115,DB00264,0.295
DB01023,DB00264,0.271
DB01165,DB00715,0.343
DB00199,DB00715,0.173
DB00537,DB00715,0.355
DB00564,DB00715,0.65
DB00316,DB00715,0.23
DB00641,DB00715,0.258
DB00373,DB00715,0.178
DB00624,DB00715,0.217
DB00675,DB00715,0.295
DB00203,DB00715,0.345
DB00533,DB00715,0.272
DB00740,DB00715,0.321
DB00206,DB00715,0.379
DB00863,DB00715,0.214
DB00571,DB00715,0.3
DB03322,DB00715,0.3
DB01069,DB00715,0.217
DB00396,DB00715,0.208
DB00635,DB00715,0.173
DB00457,DB00715,0.323
DB00175,DB00715,0.218
DB01174,DB00715,0.218
DB01183,DB00715,0.151
DB00295,DB00715,0.575
DB00683,DB00715,0.26
DB01110,DB00715,0.282
DB00836,DB00715,0.153
DB00555,DB00715,0.574
DB01026,DB00715,0.515
DB01221,DB00715,0.231
DB00281,DB00715,0.235
DB01050,DB00715,0.258
DB00741,DB00715,0.511
DB00502,DB00715,0.529
DB01241,DB00715,0.353
DB00158,DB00715,0.152
DB00472,DB00715,0.992
DB00584,DB00715,0.179
DB00313,DB00715,0.737
DB01075,DB00715,0.272
DB00343,DB00715,0.155
DB00255,DB00715,0.365
DB00586,DB00715,0.168
DB00829,DB00715,0.467
DB00182,DB00715,0.801
DB01394,DB00715,0.174
DB00907,DB00715,0.805
DB00363,DB00715,0.58
DB00257,DB00715,0.282
DB00758,DB00715,0.288
DB00575,DB00715,0.455
DB00501,DB00715,0.436
DB00477,DB00715,0.356
DB00439,DB00715,0.21
DB00482,DB00715,0.21
DB00661,DB00715,0.193
DB00201,DB00715,0.299
DB00945,DB00715,0.359
DB00277,DB00715,0.215
DB00252,DB00715,0.355
DB00788,DB00715,0.217
DB00468,DB00715,0.677
DB00908,DB00715,0.677
DB00368,DB00715,0.816
DB00184,DB00715,0.352
DB01065,DB00715,0.439
DB00451,DB00715,0.26
DB00668,DB00715,0.517
DB01235,DB00715,0.361
DB00988,DB00715,0.746
DB00987,DB00715,0.173
DB00783,DB00715,0.156
DB00122,DB00715,0.191
DB00640,DB00715,0.15
DB03128,DB00715,0.318
DB01045,DB00715,0.193
DB01388,DB00715,0.282
DB01211,DB00715,0.414
DB00440,DB00715,0.282
DB01037,DB00715,0.386
DB00811,DB00715,0.236
DB01059,DB00715,0.282
DB00264,DB00715,0.344
DB00333,DB00715,0.326
DB01043,DB00715,0.355
DB00458,DB00715,0.919
DB00623,DB00715,0.234
DB00813,DB00715,0.163
DB00390,DB00715,0.274
DB01151,DB00715,0.942
DB00321,DB00715,0.809
DB01118,DB00715,0.618
DB00915,DB00715,0.397
DB00382,DB00715,0.174
DB01577,DB00715,0.218
DB00285,DB00715,0.973
DB01104,DB00715,0.986
DB00734,DB00715,0.72
DB01182,DB00715,0.153
DB00334,DB00715,0.834
DB01595,DB00715,0.191
DB00704,DB00715,0.298
DB00690,DB00715,0.176
DB00696,DB00715,0.195
DB01184,DB00715,0.175
DB00514,DB00715,0.436
DB01242,DB00715,0.906
DB00215,DB00715,0.948
DB01175,DB00715,0.948
DB00490,DB00715,0.71
DB00669,DB00715,0.326
DB01224,DB00715,0.661
DB00211,DB00715,0.262
DB00968,DB00715,0.15
DB01200,DB00715,0.238
DB00656,DB00715,0.848
DB01167,DB00715,0.406
DB01142,DB00715,0.599
DB00342,DB00715,0.166
DB00455,DB00715,0.209
DB00176,DB00715,0.92
DB01100,DB00715,0.382
DB00726,DB00715,0.601
DB01149,DB00715,0.85
DB00934,DB00715,0.852
DB00810,DB00715,0.257
DB00344,DB00715,0.503
DB01165,DB01138,0.297
DB00564,DB01138,0.153
DB01124,DB01138,0.183
DB00605,DB01138,0.186
DB01032,DB01138,0.908
DB00812,DB01138,0.884
DB01174,DB01138,0.15
DB00959,DB01138,0.408
DB00678,DB01138,0.175
DB00328,DB01138,0.611
DB00695,DB01138,0.208
DB00903,DB01138,0.151
DB00470,DB01138,0.24
DB01394,DB01138,0.626
DB00257,DB01138,0.155
DB00758,DB01138,0.396
DB00501,DB01138,0.208
DB00661,DB01138,0.217
DB00945,DB01138,0.736
DB01435,DB01138,0.184
DB00277,DB01138,0.176
DB00437,DB01138,0.707
DB00252,DB01138,0.187
DB00788,DB01138,0.535
DB00627,DB01138,0.509
DB00936,DB01138,0.397
DB01045,DB01138,0.155
DB00440,DB01138,0.297
DB04557,DB01138,0.295
DB01165,DB00333,0.265
DB00199,DB00333,0.209
DB00537,DB00333,0.231
DB00564,DB00333,0.386
DB00316,DB00333,0.593
DB00624,DB00333,0.362
DB00421,DB00333,0.188
DB00203,DB00333,0.171
DB00571,DB00333,0.235
DB03322,DB00333,0.235
DB01069,DB00333,0.164
DB00396,DB00333,0.15
DB00860,DB00333,0.214
DB00457,DB00333,0.15
DB00175,DB00333,0.243
DB01174,DB00333,0.462
DB01229,DB00333,0.188
DB01183,DB00333,0.947
DB00295,DB00333,0.976
DB00683,DB00333,0.49
DB00836,DB00333,0.33
DB00555,DB00333,0.506
DB01026,DB00333,0.384
DB01221,DB00333,0.461
DB00281,DB00333,0.416
DB01050,DB00333,0.269
DB00741,DB00333,0.394
DB00502,DB00333,0.413
DB00472,DB00333,0.698
DB00313,DB00333,0.36
DB01075,DB00333,0.399
DB00343,DB00333,0.15
DB00255,DB00333,0.178
DB00586,DB00333,0.208
DB00829,DB00333,0.679
DB00182,DB00333,0.793
DB00470,DB00333,0.558
DB01394,DB00333,0.233
DB00907,DB00333,0.976
DB00363,DB00333,0.298
DB00758,DB00333,0.168
DB00575,DB00333,0.805
DB00501,DB00333,0.157
DB00477,DB00333,0.33
DB00661,DB00333,0.356
DB00201,DB00333,0.4
DB00945,DB00333,0.257
DB00277,DB00333,0.172
DB00252,DB00333,0.368
DB00445,DB00333,0.347
DB00997,DB00333,0.347
DB00788,DB00333,0.171
DB00468,DB00333,0.391
DB00908,DB00333,0.391
DB00368,DB00333,0.445
DB00184,DB00333,0.804
DB00668,DB00333,0.209
DB01235,DB00333,0.258
DB00655,DB00333,0.161
DB00988,DB00333,0.646
DB00783,DB00333,0.247
DB00640,DB00333,0.17
DB03128,DB00333,0.313
DB00602,DB00333,0.346
DB01045,DB00333,0.423
DB01211,DB00333,0.152
DB00570,DB00333,0.255
DB00495,DB00333,0.437
DB01037,DB00333,0.155
DB00811,DB00333,0.489
DB00715,DB00333,0.326
DB00371,DB00333,0.29
DB01043,DB00333,0.467
DB00458,DB00333,0.445
DB00623,DB00333,0.15
DB00813,DB00333,0.953
DB01248,DB00333,0.255
DB00390,DB00333,0.561
DB01151,DB00333,0.627
DB00921,DB00333,0.982
DB00321,DB00333,0.52
DB01118,DB00333,0.363
DB00915,DB00333,0.557
DB01577,DB00333,0.242
DB00802,DB00333,0.643
DB00285,DB00333,0.422
DB01104,DB00333,0.635
DB00734,DB00333,0.293
DB00334,DB00333,0.272
DB01595,DB00333,0.203
DB00704,DB00333,0.962
DB00514,DB00333,0.805
DB01242,DB00333,0.271
DB00215,DB00333,0.434
DB01175,DB00333,0.434
DB00490,DB00333,0.298
DB01224,DB00333,0.274
DB00280,DB00333,0.175
DB01200,DB00333,0.423
DB00656,DB00333,0.571
DB01167,DB00333,0.151
DB01142,DB00333,0.273
DB00176,DB00333,0.395
DB00726,DB00333,0.178
DB01165,DB01204,0.201
DB00199,DB01204,0.164
DB00537,DB01204,0.261
DB00795,DB01204,0.154
DB01645,DB01204,0.157
DB04216,DB01204,0.216
DB00541,DB01204,0.812
DB00523,DB01204,0.453
DB00755,DB01204,0.453
DB00624,DB01204,0.366
DB00675,DB01204,0.475
DB00877,DB01204,0.21
DB00396,DB01204,0.16
DB00635,DB01204,0.81
DB00860,DB01204,0.575
DB00457,DB01204,0.274
DB01229,DB01204,0.743
DB01110,DB01204,0.166
DB00959,DB01204,0.613
DB00563,DB01204,0.767
DB01026,DB01204,0.299
DB00158,DB01204,0.327
DB00544,DB01204,0.683
DB00773,DB01204,0.936
DB00903,DB01204,0.25
DB00255,DB01204,0.243
DB01394,DB01204,0.284
DB00501,DB01204,0.641
DB00661,DB01204,0.508
DB00437,DB01204,0.203
DB00445,DB01204,0.959
DB00997,DB01204,0.959
DB00468,DB01204,0.182
DB00908,DB01204,0.182
DB00987,DB01204,0.804
DB00783,DB01204,0.245
DB01103,DB01204,0.216
DB00640,DB01204,0.154
DB01268,DB01204,0.34
DB01254,DB01204,0.31
DB00398,DB01204,0.371
DB00530,DB01204,0.323
DB00317,DB01204,0.341
DB00570,DB01204,0.785
DB00495,DB01204,0.171
DB00361,DB01204,0.612
DB00619,DB01204,0.587
DB01059,DB01204,0.201
DB00358,DB01204,0.193
DB01177,DB01204,0.804
DB01248,DB01204,0.801
DB00694,DB01204,0.966
DB00276,DB01204,0.913
DB00242,DB01204,0.667
DB01097,DB01204,0.169
DB01196,DB01204,0.838
DB01165,DB01241,0.352
DB00199,DB01241,0.271
DB00537,DB01241,0.444
DB00564,DB01241,0.479
DB00412,DB01241,0.594
DB00641,DB01241,0.84
DB01393,DB01241,0.898
DB00197,DB01241,0.386
DB00523,DB01241,0.23
DB00755,DB01241,0.23
DB00624,DB01241,0.251
DB00571,DB01241,0.169
DB03322,DB01241,0.169
DB00175,DB01241,0.8
DB01132,DB01241,0.633
DB00471,DB01241,0.175
DB01110,DB01241,0.282
DB00227,DB01241,0.796
DB01009,DB01241,0.41
DB01026,DB01241,0.525
DB00328,DB01241,0.155
DB01050,DB01241,0.506
DB01016,DB01241,0.217
DB00695,DB01241,0.184
DB00158,DB01241,0.15
DB00472,DB01241,0.43
DB00343,DB01241,0.23
DB00255,DB01241,0.23
DB00586,DB01241,0.508
DB00470,DB01241,0.177
DB00257,DB01241,0.282
DB00758,DB01241,0.233
DB00501,DB01241,0.356
DB00439,DB01241,0.833
DB00661,DB01241,0.217
DB00201,DB01241,0.331
DB00945,DB01241,0.33
DB00252,DB01241,0.151
DB00788,DB01241,0.529
DB00468,DB01241,0.282
DB00908,DB01241,0.282
DB00184,DB01241,0.196
DB00627,DB01241,0.8
DB00451,DB01241,0.201
DB01235,DB01241,0.442
DB00655,DB01241,0.21
DB00988,DB01241,0.151
DB00783,DB01241,0.179
DB00936,DB01241,0.152
DB00122,DB01241,0.153
DB00640,DB01241,0.167
DB01045,DB01241,0.179
DB01261,DB01241,0.154
DB00973,DB01241,0.645
DB01098,DB01241,0.645
DB01388,DB01241,0.353
DB01211,DB01241,0.404
DB01586,DB01241,0.151
DB00440,DB01241,0.676
DB00715,DB01241,0.353
DB01059,DB01241,0.282
DB00264,DB01241,0.272
DB01095,DB01241,0.758
DB00390,DB01241,0.274
DB01118,DB01241,0.439
DB00915,DB01241,0.165
DB04557,DB01241,0.248
DB00966,DB01241,0.171
DB00790,DB01241,0.151
DB00178,DB01241,0.172
DB01167,DB01241,0.462
DB00176,DB01241,0.282
DB01165,DB00921,0.166
DB01327,DB00921,0.294
DB00564,DB00921,0.27
DB00316,DB00921,0.621
DB00624,DB00921,0.18
DB00428,DB00921,0.151
DB00571,DB00921,0.199
DB03322,DB00921,0.199
DB01069,DB00921,0.168
DB00396,DB00921,0.22
DB01174,DB00921,0.26
DB01183,DB00921,0.956
DB00295,DB00921,0.958
DB00683,DB00921,0.512
DB01011,DB00921,0.163
DB00959,DB00921,0.155
DB00814,DB00921,0.512
DB00836,DB00921,0.152
DB00555,DB00921,0.274
DB01009,DB00921,0.342
DB01026,DB00921,0.19
DB01221,DB00921,0.711
DB00328,DB00921,0.167
DB00281,DB00921,0.555
DB01050,DB00921,0.236
DB00741,DB00921,0.324
DB00502,DB00921,0.204
DB00472,DB00921,0.469
DB00313,DB00921,0.153
DB01075,DB00921,0.155
DB00255,DB00921,0.157
DB00586,DB00921,0.217
DB00829,DB00921,0.533
DB00182,DB00921,0.592
DB00470,DB00921,0.394
DB00907,DB00921,0.933
DB00575,DB00921,0.787
DB00477,DB00921,0.151
DB00482,DB00921,0.156
DB00201,DB00921,0.248
DB00945,DB00921,0.182
DB00252,DB00921,0.221
DB00788,DB00921,0.152
DB00368,DB00921,0.378
DB00184,DB00921,0.344
DB00668,DB00921,0.219
DB01235,DB00921,0.211
DB00655,DB00921,0.163
DB00988,DB00921,0.518
DB00783,DB00921,0.245
DB03128,DB00921,0.289
DB00495,DB00921,0.223
DB00811,DB00921,0.21
DB00333,DB00921,0.982
DB01043,DB00921,0.252
DB00458,DB00921,0.15
DB00813,DB00921,0.91
DB01151,DB00921,0.509
DB01136,DB00921,0.169
DB00321,DB00921,0.239
DB00915,DB00921,0.285
DB00802,DB00921,0.633
DB00285,DB00921,0.438
DB01104,DB00921,0.379
DB01595,DB00921,0.155
DB00704,DB00921,0.972
DB00514,DB00921,0.382
DB00215,DB00921,0.275
DB01175,DB00921,0.275
DB01337,DB00921,0.238
DB01200,DB00921,0.17
DB01149,DB00921,0.321
DB01165,DB00176,0.48
DB00199,DB00176,0.151
DB00537,DB00176,0.557
DB00564,DB00176,0.505
DB00373,DB00176,0.156
DB00624,DB00176,0.153
DB00203,DB00176,0.203
DB00740,DB00176,0.566
DB00206,DB00176,0.333
DB00571,DB00176,0.298
DB03322,DB00176,0.298
DB01069,DB00176,0.187
DB00396,DB00176,0.214
DB00457,DB00176,0.157
DB01174,DB00176,0.172
DB00295,DB00176,0.208
DB00683,DB00176,0.344
DB01110,DB00176,0.338
DB00555,DB00176,0.44
DB01026,DB00176,0.558
DB00741,DB00176,0.299
DB00502,DB00176,0.615
DB01241,DB00176,0.282
DB00472,DB00176,0.932
DB00313,DB00176,0.456
DB01075,DB00176,0.184
DB00343,DB00176,0.17
DB00255,DB00176,0.239
DB00586,DB00176,0.153
DB00829,DB00176,0.476
DB00182,DB00176,0.436
DB00907,DB00176,0.402
DB00363,DB00176,0.652
DB00257,DB00176,0.282
DB00575,DB00176,0.504
DB00501,DB00176,0.614
DB00477,DB00176,0.293
DB00201,DB00176,0.444
DB00945,DB00176,0.152
DB00277,DB00176,0.257
DB00252,DB00176,0.274
DB00468,DB00176,0.503
DB00908,DB00176,0.503
DB00368,DB00176,0.596
DB00184,DB00176,0.217
DB01065,DB00176,0.329
DB00668,DB00176,0.214
DB01235,DB00176,0.157
DB00988,DB00176,0.59
DB00783,DB00176,0.231
DB03128,DB00176,0.209
DB01045,DB00176,0.172
DB01388,DB00176,0.48
DB01211,DB00176,0.375
DB00440,DB00176,0.282
DB01037,DB00176,0.272
DB00715,DB00176,0.92
DB01059,DB00176,0.48
DB00264,DB00176,0.17
DB00333,DB00176,0.395
DB00371,DB00176,0.169
DB01043,DB00176,0.29
DB00458,DB00176,0.859
DB00623,DB00176,0.272
DB00390,DB00176,0.194
DB01151,DB00176,0.879
DB00321,DB00176,0.851
DB01118,DB00176,0.531
DB00915,DB00176,0.295
DB00382,DB00176,0.237
DB01577,DB00176,0.218
DB00285,DB00176,0.864
DB01104,DB00176,0.929
DB00734,DB00176,0.714
DB01182,DB00176,0.156
DB03783,DB00176,0.257
DB00334,DB00176,0.795
DB01595,DB00176,0.169
DB00704,DB00176,0.412
DB00690,DB00176,0.277
DB00696,DB00176,0.155
DB00514,DB00176,0.358
DB01242,DB00176,0.949
DB00215,DB00176,0.91
DB01175,DB00176,0.91
DB00490,DB00176,0.664
DB00669,DB00176,0.21
DB01224,DB00176,0.596
DB00211,DB00176,0.15
DB01200,DB00176,0.171
DB00656,DB00176,0.841
DB01167,DB00176,0.731
DB01142,DB00176,0.577
DB01100,DB00176,0.353
DB00726,DB00176,0.656
DB01580,DB00176,0.169
DB01149,DB00176,0.845
DB00934,DB00176,0.847
DB00810,DB00176,0.299
DB00344,DB00176,0.507
DB01165,DB01035,0.352
DB00199,DB01035,0.161
DB00537,DB01035,0.257
DB00564,DB01035,0.3
DB00795,DB01035,0.218
DB00594,DB01035,0.443
DB01124,DB01035,0.297
DB00373,DB01035,0.161
DB00533,DB01035,0.322
DB00863,DB01035,0.439
DB00571,DB01035,0.813
DB03322,DB01035,0.813
DB01032,DB01035,0.282
DB00635,DB01035,0.281
DB00812,DB01035,0.153
DB01174,DB01035,0.362
